,Keratinocyte_Cornified,Keratinocyte_Granular,Keratinocyte_Spinous,Keratinocyte_Basal,Melanocyte,Fibroblast_Papillary,Fibroblast_Reticular,Endothelial,Pericyte,Sebocyte,Sweat_Eccrine,Sweat_Apocrine,Hair,Adipocyte,Langerhans,Macrophage,T_Cell,Mast_Cell,Sensory_Corpuscle
WEAK_022,1.9911182742728653,0.02856974398734337,0.2933212044347092,0.2556790084936824,0.01818058245712964,0.0880443512110485,0.022815374047526742,0.03000778675286128,0.024303675202151848,0.027294819493418943,1.4310919541968086,0.026369784948125138,0.05944003335656243,0.034567533794986796,0.018830536175627795,0.03581162661914913,0.015549543893739925,0.048574833141568324,0.021949854794796744
WEAK_123,1.3527101441600708,0.3043570592688485,0.014178329390937312,0.02950211780445313,0.02802347426160495,0.012353670605815692,0.31564657730975465,0.009592627024502837,0.023196417387853108,0.0080728515052736,0.050921348988555944,0.010237404743576308,0.025064544627206017,0.8441202817707913,0.01533601695872322,0.010474654348390781,0.03372574767577097,0.022568980960689954,0.02318156174611588
MRK_Keratinocyte_Spinous_111,1.2052739355082775,0.29827001159554845,0.886065108858074,0.13994042862405687,0.09321359349259763,0.138588277207433,0.0834552618204713,0.3023390023700207,0.026761055441130308,0.054113063858031225,0.3091805462502395,0.04444304377423928,0.23777413857559968,0.256401901765764,0.1932671804465609,0.12372767313413355,0.05156882564277548,0.05602287661842703,0.30836924318667847
MRK_Keratinocyte_Cornified_064,1.1933214448952971,0.7111356927903181,0.5872063201809611,0.3988066202682205,0.380310207785908,0.31513122228688106,0.21595794509697752,0.20677496659426764,0.40216919920230987,0.2317976020864643,0.12449504007568862,0.20459638479692635,0.15528856084220052,0.0777540334441465,0.14912934064865002,0.11928567159802242,0.1549201077115197,0.4438355238607599,0.2965195837379361
LIN_keratinocyte_041,0.6350679634473549,0.33755408385795715,0.43935082274072945,0.2632440782841133,0.22648533267038135,0.09234496489506863,0.0801465724110944,0.1453067413941468,0.06982381067114488,0.35998153557804075,0.1715637903032353,0.3298819791984731,0.0987065998828179,0.49222584914705053,0.20200881298705178,0.20444791159687412,0.0535016624067684,0.15736412599813263,0.18030374706913088
LIN_glandular_167,0.4652334657671989,0.07601683228308574,0.3545478422949013,0.059304436821543745,0.27147413729760966,0.1211265229758841,0.10174687286791335,0.12023005632304977,0.1103924295607879,0.24260696090536496,0.4308395108413205,0.23682450926839543,0.14855016826897793,0.06611906904214958,0.20606639118462647,0.12731660065961414,0.247536171085143,0.17392135071333725,0.11754933388987991
LIN_keratinocyte_054,0.9953102371840096,1.3127296496037646,0.6666864214829218,0.37365979477930245,0.2296686343184649,0.19220536161654725,0.13095129329729663,0.29528009425787344,0.40381638081797094,0.47787432528949114,0.3843614355041026,0.049936853033164655,0.1665602240491982,0.25479729568157183,0.19036497897586738,0.23867158177521278,0.19489175548633425,0.12796009631581448,0.19731829966900313
WEAK_188,0.05465251027235286,2.277486434417415,1.2416557253251488,0.06724151191780289,0.03532092866235472,0.03601053975666429,0.027608162891341735,0.12809085579420657,0.05720625751067052,0.05137455743226875,0.05163111499269905,0.043690400494109174,0.02222495771806594,0.05402302394503868,0.030582781422529886,0.06251901614429752,0.05086033677395581,0.04244441238827043,0.06347370547284722
LIN_keratinocyte_209,0.4171871758499273,1.4837750238024603,0.2237085473330948,0.5711585484621579,0.21389563989982693,0.18576990911990016,0.2181004787328225,0.1398298523541049,0.911402539419163,0.16236372073371663,0.2967671328915579,0.10646284798513242,0.21003715003763848,0.35727803473714,0.2503675464926575,0.0628637507102716,0.6001823698605301,0.25827830314628414,0.1209396209448546
LIN_keratinocyte_097,0.20365201033506272,0.5494941616541794,0.3455909764993361,0.2748018208045452,0.06523533566435359,0.13342710625001694,0.10371568762570822,0.3417711630523167,0.07135277610032181,0.09993254099860924,0.14299327617970317,0.06295369603476425,0.27839139951368946,0.06673235125834799,0.4418386496622132,0.18845724667144614,0.07010653815212253,0.17853029107296692,0.14193628700546693
LIN_sensory_081,0.49285884470449365,1.42988072984779,0.7498649655959609,0.7978249605107346,1.0780490999608476,0.23294702878934576,0.5854269858636142,0.44225111978504655,0.2716297965339271,0.985032054703487,0.5078925331009744,0.15217094944943121,0.5915702506770392,0.35726749634584676,0.18642555812839753,0.32741957247484266,0.7517785128491277,0.3010963069684353,0.7915375638064126
